"Data","IPEDS ID","Year","NCAA Subdivision","FBS Conference","Total Expenses","Excess Transfers Back","Other Expenses","Medical","Competition Guarantees...10","Recruiting","Game Expenses and Travel","Facilities and Equipment","Coaches Compensation","Support and Admin Compensation w/Severance","Athletic Student Aid","Total Revenues","Other Revenue","Corporate Sponsorship, Advertising, Licensing","Donor Contributions","Competition Guarantees...21","NCAA/Conference Distributions, Media Rights, and Post-Season Football","Ticket Sales","Institutional/Government Support","Student Fees","Total Academic Spending (University-Wide)","Total Football Spending","Total Football Coaching Salaries","Athletics Related Debt","Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
"Arizona State University",104151,2005,"Football Bowl Subdivision","Pacific-12 Conference",39749018,0,6040071,1033663,1984857,735565,4242638,5417528,7146830,6037246,7110620,41334126,2308024,3403024,8580779,1465371,8202006,7179440,10195482,0,783867000,10584738,2428340,3.5e+07,1858974
"Arizona State University",104151,2006,"Football Bowl Subdivision","Pacific-12 Conference",48897603,0,8587663,1056706,2514204,964819,4607190,7710740,7884260,7712167,7859854,50268561,3420533,3860104,11791138,1164271,8238025,10254504,11539986,0,870108000,14631191,2721364,35600000,3100000
"Arizona State University",104151,2007,"Football Bowl Subdivision","Pacific-12 Conference",54832410,0,8831561,1050902,2171781,751269,6253465,7713067,9079318,9923803,9057244,54735433,2831043,4084468,11823287,1812721,8520259,8811409,16852246,0,926072000,18702358,3329366,NA,NA
"Arizona State University",104151,2008,"Football Bowl Subdivision","Pacific-12 Conference",54296003,0,7848414,1284295,3253343,758146,6591268,7144936,10213939,7891052,9310610,54833194,3156981,4072559,12146808,890818,9545572,13341701,11678755,0,1219782000,18515792,3900762,43956430,2200000
"Arizona State University",104151,2009,"Football Bowl Subdivision","Pacific-12 Conference",53032149,0,8283974,1276932,2462410,676453,5906947,7979160,10132711,7016924,9296638,51892026,3197814,4626539,10989254,1682572,9560769,13418157,8416921,0,1244145000,17278227,3626896,35462000,2077000
"Arizona State University",104151,2010,"Football Bowl Subdivision","Pacific-12 Conference",57905546,0,7334470,1161431,3568797,796769,5618625,10301776,10641906,8595629,9886143,56505165,3029524,10447662,10095247,1274580,9269450,12039166,10349536,0,1365964000,18084699,3764934,36133000,4849000
"Arizona State University",104151,2011,"Football Bowl Subdivision","Pacific-12 Conference",57080884,0,6994947,1056232,2052910,723111,6001109,11326142,10699714,7864633,10362086,55294113,3092188,10816783,11982854,1726998,8910646,8103692,10660952,0,1450399000,16608509,3607121,32994000,4842000
"Arizona State University",104151,2012,"Football Bowl Subdivision","Pacific-12 Conference",65587903,0,7474546,1121391,2542304,897577,7245906,11312059,11717658,12108297,11168165,59855508,4137403,11167339,11265732,982651,12899470,9059072,10343841,0,1425147000,24541562,4531989,29734000,4844000
"Arizona State University",104151,2013,"Football Bowl Subdivision","Pacific-12 Conference",65600187,0,8913452,1470458,1518634,1172091,7763248,10317155,13608615,8700444,12136090,65673955,3655308,9028905,12737532,3e+05,20241809,9589992,10120409,0,1025995560,23582003,5915554,32305000,3740000
"Arizona State University",104151,2014,"Football Bowl Subdivision","Pacific-12 Conference",74553104,0,10675755,1595842,1447006,1108996,8572188,11223452,16713127,10514913,12701825,74729269,3764658,10148054,13499765,1400000,22958453,12885134,10073205,0,1069928600,27869848,7588278,29930000,3741000
"Arizona State University",104151,2015,"Football Bowl Subdivision","Pacific-12 Conference",83873516,0,10642925,1846329,1552205,1174263,9375181,14915036,17775568,15247469,11344540,84440040,3670889,10279135,14770823,0,25298010,11042051,9421830,9957302,1113892000,27569960,8328373,83075000,5020000
"Arizona State University",104151,2016,"Football Bowl Subdivision","Pacific-12 Conference",89086777,0,9935902,1504430,1174254,1201961,9058326,19728335,17067549,15502393,13913627,94662743,4071076,13656265,16660713,2344292,28454126,11899256,7000319,10576696,1368371640,27084029,7513685,150359000,9726000
"Arizona State University",104151,2017,"Football Bowl Subdivision","Pacific-12 Conference",98825395,0,8545549,1771453,1491284,1482432,8527066,25686286,19134263,17411130,14775932,101579860,3842275,16611557,19802494,568500,31855182,10033481,8060927,10805444,1440492900,31724820,8332187,211774000,12129000
"Arizona State University",104151,2018,"Football Bowl Subdivision","Pacific-12 Conference",126782387,0,9549397,1630447,1763586,1543683,11221325,32377384,20838455,32149151,15708959,113636755,3923623,18070949,24994817,506500,33127207,12401920,9756971,10854768,1728487530,52816903,8586651,209565000,12549000
"Arizona State University",104151,2019,"Football Bowl Subdivision","Pacific-12 Conference",118404377,0,9815972,1536363,1445796,1617134,11472614,35353166,19920882,20666168,16576282,121698840,4442495,18959051,30588642,451590,35028359,12872569,8398905,10957229,1929483360,31977970,7072896,207171000,12348000
"Arizona State University",104151,2020,"Football Bowl Subdivision","Pacific-12 Conference",117912821,0,8949975,1855129,2777041,1342096,11172901,30484450,21578487,22920786,16831956,106989879,4874619,20252086,15092858,504500,35382081,13763930,5744006,11375799,2304773139,40701748,8317089,205406000,11623000
"Arizona State University",104151,2021,"Football Bowl Subdivision","Pacific-12 Conference",103772499,0,4531886,2356712,207992,380468,6255752,28390717,22357899,21940189,17350884,117675310,935907,17802019,7940129,0,21484281,342176,57869086,11301712,2381780895,26093543,8899443,245181000,11620000
"Arizona State University",104151,2022,"Football Bowl Subdivision","Pacific-12 Conference",124008192,0,9227304,2367604,1679756,1269014,14394199,29507344,24802737,23658668,17101566,121079615,4942444,21618331,20475970,481516,40164060,14144182,7591351,11661761,NA,39264216,9306528,318762000,15431000
"Auburn University",100858,2005,"Football Bowl Subdivision","Southeastern Conference",61314114,0,7503926,506357,2932268,1456760,5498654,18277064,9698471,9315665,6124949,57395152,2318811,888953,22865880,825000,13671177,15842982,0,982349,479365619,20171530,4943375,65091371,6481219
"Auburn University",100858,2006,"Football Bowl Subdivision","Southeastern Conference",63249119,0,9756981,745190,2371977,1739224,5545630,17828429,10270828,8375911,6614949,66599925,4056519,1110444,26306262,825480,13279251,20099721,0,922248,477263083,18197817,5150724,61524429,7077817
"Auburn University",100858,2007,"Football Bowl Subdivision","Southeastern Conference",68910465,0,10970634,726098,3675436,1375569,6207463,18251599,10905708,10203508,6594450,81799266,6244230,977585,31715011,0,16118134,21796102,0,4948204,538383661,22953259,5447556,58846526,7117222
"Auburn University",100858,2008,"Football Bowl Subdivision","Southeastern Conference",69841200,0,10183626,649485,2667720,1452521,6388877,18893353,11330594,11133408,7141616,89311824,4145060,6079271,34897688,106289,16896757,21991623,0,5195136,601271341,23177807,5633433,54029086,7256759
"Auburn University",100858,2009,"Football Bowl Subdivision","Southeastern Conference",85480343,0,13165205,644218,2249391,1585843,6614035,23708801,11930855,18027073,7554922,87001413,4852820,3396585,32080789,380000,17548051,23514179,0,5228989,612781006,28801870,5421906,115759125,9555329
"Auburn University",100858,2010,"Football Bowl Subdivision","Southeastern Conference",90908902,0,16170065,679440,2811697,1671581,7261953,24620038,13928324,14968066,8797738,92611558,5414262,3188793,29731122,0,24283643,24732134,0,5261604,596474474,27911717,6526340,109977105,11434357
